"code_zone_IPRES","code_sector_IPRES","agence_IPRES","code_zone_CSS","code_sector_CSS","agence_CSS"
NIAYES,YEUMBEUL NORD,I_PK,NIAYES,YEUMBEUL NORD,C_GY
GRAND DAKAR,BISCUITERIE,I_PE,GRAND DAKAR,BISCUITERIE,C_WI
ALMADIES,NGOR,I_DP,ALMADIES,NGOR,C_VD
COM. NDOMBO SANDJIRY,COM. NDOMBO SANDJIRY,I_RT,COM. NDOMBO SANDJIRY,COM. NDOMBO SANDJIRY,C_RT
COM. MBACKE,COM. MBACKE,I_DI,COM. MBACKE,COM. MBACKE,C_DI
GUEDIAWAYE,WAKHINANE NIMZATT,I_PK,GUEDIAWAYE,WAKHINANE NIMZATT,C_GY
COM. KEBEMER,COM. KEBEMER,I_LG,COM. KEBEMER,COM. KEBEMER,C_LG
COM. KANEL,COM. KANEL,I_MA,COM. KANEL,COM. KANEL,C_MA
DAKAR PLATEAU,COLOBANE/FASS/GUEULE TAPEE,I_DP,DAKAR PLATEAU,COLOBANE/FASS/GUEULE TAPEE,C_WI
ALMADIES,MERMOZ SACRE COEUR,I_TB,ALMADIES,MERMOZ SACRE COEUR,C_TB
TATTAGUINE,DIOUROUP,I_KA,TATTAGUINE,DIOUROUP,C_KA
COM. GOSSAS,COM. GOSSAS,I_KA,COM. GOSSAS,COM. GOSSAS,C_KA
VELINGARA,OUDALAYE,I_MA,VELINGARA,OUDALAYE,C_MA
NGOTHIE,DYA,I_KA,NGOTHIE,DYA,C_KA
MISSIRAH,MISSIRAH,I_TB,MISSIRAH,MISSIRAH,C_TB
COM. KOUNGHEUL,COM. KOUNGHEUL,I_KA,COM. KOUNGHEUL,COM. KOUNGHEUL,C_KA
NDAME,NGHAYE,I_DI,NDAME,NGHAYE,C_DI
GUEDIAWAYE,NDIAREME LIMAMOULAYE,I_PK,GUEDIAWAYE,NDIAREME LIMAMOULAYE,C_PK
COM. MEKHE,COM. MEKHE,I_TH,COM. MEKHE,COM. MEKHE,C_TH
COM. NDIANDANE,COM. NDIANDANE,I_SL,COM. NDIANDANE,COM. NDIANDANE,C_SL
GRAND DAKAR,DIEUPPEUL DERKLE,I_PE,GRAND DAKAR,DIEUPPEUL DERKLE,C_WI
GRAND DAKAR,SICAP LIBERTE,I_PE,GRAND DAKAR,SICAP LIBERTE,C_VD
GAMADJI SARE,GAMADJI SARE,I_SL,GAMADJI SARE,GAMADJI SARE,C_SL
COM. MATAM,COM. MATAM,I_MA,COM. MATAM,COM. MATAM,C_MA
PARCELLES ASSAINIES,CAMBERENE,I_PK,PARCELLES ASSAINIES,CAMBERENE,C_GY
LOUR ESCALE,RIBOT ESCALE,I_KA,LOUR ESCALE,RIBOT ESCALE,C_KA
