"secteur_activite","taux_AT","activite_principale"
GARDIENNAGE PROFESSIONNEL,"3",GARDIENNAGE PROFESSIONNEL
ACTIVITES TESTS,"3",ACTIVITES TESTS
ADMINISTR.COLLECT.LOCAL.DECEN.,"1",ADMINISTR.COLLECT.LOCAL.DECEN.
ALIMENTS BETAIL,"3",ALIMENTS BETAIL
TRAVAUX ROUTIERS,"5",TRAVAUX ROUTIERS
AGRICULTURE (AVEC UTILISATION ENGINS MECANIQUES),"3",AGRICULTURE (AVEC UTILISATION ENGINS MECANIQUES)
TELEPHONIE MOBILE,"3",TELEPHONIE MOBILE
AGRICULTURE (SANS UTILISATION ENGINS MECANIQUES),"1",AGRICULTURE (SANS UTILISATION ENGINS MECANIQUES)
"Agriculture, sylviculture et pêche","3",ACTIVITES ANNEXES DE L'AGRICULTURE
Administration publique et défense,"1",ETABLISSEMENT SEMI-PUBLICS
Commerce de gros et de détail; réparations de véhicules automobiles et de motocycles,"3",COMMERCE DE GROS ET 1/2 GROS
Information et communication,"5",TELECOMMUNICATIONS ET ACTIVITE
BATIMENT-CONSTRUTION-RAVALEMENT,"5",Construction
Activités de fabrication,"1",COMMERCE DE DETAIL SANS LIVRAISON
"Activités professionnelles, scientifiques et techniques","1",PROFESSIONS LIBERALES CONSEIL
Activités de fabrication,"5",INDUSTRIE DU CAOUTCHOUC
Activités des organisations et organismes extraterritoriaux,"1",REPRESENTATION DIPLOMATIQUE ET CONSULAIRE
"Agriculture, sylviculture et pêche","3",CHASSE ET PROTECTION DU GIBIER
Activités de fabrication,"5",ABATTAGE BETAIL
Construction,"1",BATIMENT-CONSTRUTION-RAVALEMENT
Information et communication,"3","INSERTIONS PUBLICITAIRES, COMM"
Activités des organisations et organismes extraterritoriaux,"1",ORGANISATION INTERNATIONALES
Activités de fabrication,"5",FABRICATION MATIERES PREMIERES BATIMENTS
Autres activités de services,"1",SOCIETES D'INTERIM
Activités de fabrication,"3",FABRICATION MACHINES ET APPAR ELECTRIQUES
Activités de fabrication,"3",FABRICATION MATERIEL DE TRANSPORT
Activités de fabrication,"3",INDUSTRIES CHIMIQUES CORPS GRAS
Activités extractives,"5",FABRICATION MATIERE PLASTIQUE (DERIVE PETROLE/CA
Éducation,"1",ENSEIGNEMENTS -FORMATION-PROFESSEUR
Activités de fabrication,"3",FABRICATION MACHINES NON ELECTRIQUES
Transport et entreposage,"1",LOCATIONS DE MACHINES ET DE MATERIELS
Activités de fabrication,"3",FABRICATION MATERIEL DE PRECISION
